"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6"
"mbea1",0.07,0.07,-0.05,0.71,0,-0.14
"mbea2",-0.03,-0.05,-0.12,0.82,-0.01,0.01
"mbea3",0,0.05,0.16,0.58,0.02,0.09
"mbep1",0.01,0.05,0.9,-0.19,0.12,-0.02
"mbep2",-0.17,-0.18,0.67,0.24,0.06,0.05
"mbep3",0.08,0.09,0.77,-0.04,-0.22,0.02
"cr1",-0.04,0.85,0.03,0.02,0.07,-0.14
"cr2",0.08,0.82,0.03,-0.03,-0.05,0.1
"cr3",-0.06,0.8,-0.01,0.05,0,0.08
"ac1",0.89,0.04,0.01,-0.01,-0.06,-0.08
"ac2",0.91,-0.02,0.04,-0.01,0.07,-0.06
"ac3",0.72,-0.09,-0.1,0.06,0.04,0.1
"is1",0.14,0.07,-0.14,0.04,0.59,-0.01
"is2",0.02,0,0,0,0.89,0.01
"is3",0.15,0.09,-0.01,-0.06,0.29,0.51
"ic1",0.37,0.18,-0.15,0.06,-0.08,0.22
"ic2",0.23,0.16,-0.07,0.03,0.02,0.47
"ic3",0.15,0.16,0.01,-0.04,0,0.7
